time,motion,distance,co2,label,timestamp
11:34:39,0,-1.0,664,0,1495121679.0
11:34:40,0,-1.0,664,0,1495121680.0
11:34:41,0,-1.0,663,0,1495121681.0
11:34:42,0,-1.0,663,0,1495121682.0
11:34:43,0,-1.0,663,0,1495121683.0
11:34:44,0,-1.0,663,0,1495121684.0
11:34:45,0,-1.0,661,0,1495121685.0
11:34:46,0,-1.0,661,0,1495121686.0
11:34:47,0,-1.0,661,0,1495121687.0
11:34:48,0,-1.0,658,0,1495121688.0
11:34:49,0,-1.0,658,0,1495121689.0
11:34:50,0,-1.0,658,0,1495121690.0
11:34:51,0,-1.0,658,0,1495121691.0
11:34:52,0,-1.0,655,0,1495121692.0
11:34:53,0,-1.0,655,0,1495121693.0
11:34:54,0,-1.0,655,0,1495121694.0
11:34:55,0,-1.0,655,0,1495121695.0
11:34:56,0,-1.0,653,0,1495121696.0
11:34:57,0,-1.0,653,0,1495121697.0
11:34:58,0,-1.0,653,0,1495121698.0
11:34:59,0,-1.0,653,0,1495121699.0
11:35:00,0,-1.0,652,0,1495121700.0
11:35:01,0,-1.0,652,0,1495121701.0
11:35:02,0,-1.0,652,0,1495121702.0
11:35:03,0,-1.0,651,0,1495121703.0
11:35:04,0,-1.0,651,0,1495121704.0
11:35:05,0,-1.0,651,0,1495121705.0
11:35:06,0,-1.0,651,0,1495121706.0
11:35:07,0,-1.0,651,0,1495121707.0
11:35:08,0,-1.0,651,0,1495121708.0
11:35:09,0,-1.0,651,0,1495121709.0
11:35:10,0,-1.0,651,0,1495121710.0
11:35:11,0,-1.0,652,0,1495121711.0
11:35:12,0,-1.0,652,0,1495121712.0
11:35:13,0,56.78,652,0,1495121713.0
11:35:14,0,-1.0,652,0,1495121714.0
11:35:15,0,-1.0,652,0,1495121715.0
11:35:16,0,-1.0,652,0,1495121716.0
11:35:17,0,-1.0,652,0,1495121717.0
11:35:18,0,-1.0,652,0,1495121718.0
11:35:19,0,-1.0,652,0,1495121719.0
11:35:20,0,-1.0,652,0,1495121720.0
11:35:21,0,-1.0,652,0,1495121721.0
11:35:22,0,-1.0,652,0,1495121722.0
11:35:23,0,-1.0,652,0,1495121723.0
11:35:24,0,-1.0,652,0,1495121724.0
11:35:25,0,-1.0,652,0,1495121725.0
11:35:26,0,-1.0,652,0,1495121726.0
11:35:27,0,-1.0,652,0,1495121727.0
11:35:28,0,-1.0,652,0,1495121728.0
11:35:29,0,-1.0,652,0,1495121729.0
11:35:30,0,-1.0,651,0,1495121730.0
11:35:31,0,-1.0,651,0,1495121731.0
11:35:32,0,-1.0,651,0,1495121732.0
11:35:33,0,-1.0,652,0,1495121733.0
11:35:34,0,-1.0,652,0,1495121734.0
11:35:35,0,-1.0,652,0,1495121735.0
11:35:36,0,-1.0,652,0,1495121736.0
11:35:37,0,-1.0,651,0,1495121737.0
11:35:38,0,-1.0,651,0,1495121738.0
11:35:39,0,-1.0,651,0,1495121739.0
11:35:40,0,-1.0,651,0,1495121740.0
11:35:41,0,-1.0,651,0,1495121741.0
11:35:42,0,-1.0,651,0,1495121742.0
11:35:43,0,-1.0,651,0,1495121743.0
11:35:44,0,-1.0,651,0,1495121744.0
11:35:45,0,-1.0,651,0,1495121745.0
11:35:46,0,-1.0,651,0,1495121746.0
11:35:47,0,-1.0,651,0,1495121747.0
11:35:48,0,-1.0,651,0,1495121748.0
11:35:49,0,-1.0,651,0,1495121749.0
11:35:50,0,-1.0,651,0,1495121750.0
11:35:51,0,-1.0,651,0,1495121751.0
11:35:52,0,-1.0,651,0,1495121752.0
11:35:53,0,-1.0,651,0,1495121753.0
11:35:54,0,-1.0,651,0,1495121754.0
11:35:55,0,-1.0,651,0,1495121755.0
11:35:56,0,-1.0,651,0,1495121756.0
11:35:57,0,-1.0,651,0,1495121757.0
11:35:58,0,-1.0,651,0,1495121758.0
11:35:59,0,-1.0,652,0,1495121759.0
11:36:00,0,-1.0,652,0,1495121760.0
11:36:01,0,-1.0,652,0,1495121761.0
11:36:02,0,-1.0,652,0,1495121762.0
11:36:03,0,-1.0,653,0,1495121763.0
11:36:04,0,-1.0,653,0,1495121764.0
11:36:05,0,-1.0,653,0,1495121765.0
11:36:06,0,-1.0,653,0,1495121766.0
11:36:07,0,-1.0,653,0,1495121767.0
11:36:08,0,-1.0,653,0,1495121768.0
11:36:09,0,-1.0,653,0,1495121769.0
11:36:10,0,-1.0,653,0,1495121770.0
11:36:11,0,-1.0,652,0,1495121771.0
11:36:12,0,-1.0,652,0,1495121772.0
11:36:13,0,-1.0,652,0,1495121773.0
11:36:14,0,-1.0,652,0,1495121774.0
